ObjectID,GlobalID,Species,Comments,Module,CoverClass_LT_6m,CoverClassAll,ParentGlobalID,CreationDate,Creator,EditDate,Editor,HerbSiteName
1065,ed5d05ca-3d34-4fe8-ae7e-f2cd36797987,Cornus racemosa,Foemina,2,6,6,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1066,bc821954-7993-4d45-ad91-89f49417b8e0,Rhamnus frangula,,2,6,6,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1067,5f857ab3-4d72-470f-bfb9-a5042da78802,Fraxinus pennsylvanica,,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1068,d6ef796e-34e5-4942-88b3-e0eae045dd3d,Rosa palustris,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1069,1c052d70-87e0-468e-9ad6-dbb18060a8e2,Sorghastrum nutans,,2,7,7,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1070,582d39e6-288e-4d7e-b9a5-41fad4d05189,Schedonorus arundinacea,Bunch type,2,6,6,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1071,1d9ccbc9-4476-489f-901e-a19c2d0c7e6d,Euthamia graminifolia,,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1072,5f6134e1-8657-47d7-b583-7df93bc35416,Platanus occidentalis,,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1073,1d0dabc8-da35-46cb-bcbc-a6550e075472,Juncus dudleyi,Cartilaginous auricles,2,5,5,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1074,7f62ab76-1716-41fe-b852-195aad85fc83,Oxypolis rigidior,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1075,e76bc068-6d4f-416e-9854-7f7f4e4b3c3b,Agrostis gigantea,Voucher,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1076,b50c22a3-65c5-4fb9-a19f-e367f6bf7096,Prunella vulgaris var. lanceolata,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1077,3b1df918-8f92-4512-88c4-166ebd8ba206,Carex aurea,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1078,16de3e32-b36b-42eb-95b4-ec6072e9ab63,Viburnum opulus var. opulus,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1079,dd73cc80-60ac-4d11-8244-b18be6faa17d,Carex pellita,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1080,895f968f-a1c3-4b36-88b0-23f18ef4d9bb,Juncus acuminatus,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1081,8c27b59e-ca65-4fa4-a3c8-3cd64de8bb3b,Rosa multiflora,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1082,cad34720-28fc-4ccf-8ed0-c9350f6ea2c0,Equisetum arvense,,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1083,8cb905cb-3779-4672-b9d9-2f147e1e7958,Asclepias incarnata,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1084,1dc689bc-8178-4e81-b35a-b4c387e42d52,Scirpus atrovirens,,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1085,6b61a9a9-78ad-4b99-ac92-e687685929c2,Pycnanthemum muticum,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1086,9a843ce9-2369-43c1-91f5-c2546a56715b,Populus deltoides,,2,2,2,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1087,754a765d-698f-4a0f-9e9d-cd95dfed4bb2,Symphyotrichum lanceolatum,Not hairy,2,4,4,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
1088,40208072-4390-4571-8557-cbe6354f41c6,Lotus corniculatus,,2,3,3,69632b8d-379c-41bc-abc1-713967f3ab8e,8/1/2023 17:03,SBingham@nps.gov_nps,8/1/2023 17:03,SBingham@nps.gov_nps,526
