ObjectID,GlobalID,Species,Comments,Module,CoverClass_LT_6m,CoverClassAll,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Herb Site Name
3827,02bc33db-31c1-4df2-8c45-0ed2894434c7,Alisma subcordatum,,1,4,4,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3842,fe6111eb-abac-409a-aed7-6ba23e805e94,Alisma subcordatum,,2,4,4,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3855,5f44676b-1af4-498c-a6dd-08927aa485b5,Alisma subcordatum,,3,5,5,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3879,144ebbe8-3c08-4ad0-bc1a-b072be0ea40f,Alisma subcordatum,,4,5,5,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3850,e6997a0b-8a06-4b86-a670-5bdd77a68af7,Asclepias incarnata,,2,2,2,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3836,5e447a8c-bfbf-4b67-a926-fee2dada16a5,Carex cristatella,,1,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3843,d77de842-6b78-4c40-a317-03398daaedc2,Carex cristatella,,2,2,2,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3862,387ff6ac-4a84-44eb-a117-a308f8fcb66b,Carex cristatella,,3,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3871,72c9a64d-1d38-4004-97db-b772a2824bf9,Carex cristatella,,4,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3829,b765a40a-0d1b-4d71-bd61-3118a7cdaabd,Cornus amomum,Obliqua,1,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3866,a62ccc80-a7fd-4768-a566-97b213bff8fa,Iris sp.,,3,2,2,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3837,f88ce9ba-dd88-48eb-9739-0e67d7dce3a7,Juncus effusus,,1,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3841,7d0118e5-2858-48ff-b261-108981a9962b,Juncus effusus,,2,3,3,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3856,0c8a93c8-e5bc-4dad-8b0d-fdde652aedc0,Juncus effusus,,3,2,2,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3868,a699fc8b-8694-428a-a2cb-494827dd0008,Juncus effusus,,4,5,5,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3834,af52cc6b-9c28-4d4a-8883-6f8ebabb5e05,Leersia oryzoides,,1,5,5,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3845,7e8d150a-b3eb-4904-8ab1-eef858c59bbe,Leersia oryzoides,,2,6,6,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
3858,95ad98bb-7561-4978-aee7-6f07b54a315b,Leersia oryzoides,,3,7,7,38d52bc6-8085-4bd3-8d68-ba01f63b8783,9/18/2023 15:40,SBingham@nps.gov_nps,9/18/2023 15:40,SBingham@nps.gov_nps,1079RS2
