ObjectID,GlobalID,Species,SpeciesComments,Module,CoverClass_LT_6m,CoverClassAll,ParentGlobalID,CreationDate,Creator,EditDate,Editor,HerbSiteName,
33,a4873778-32e0-4c81-bb8f-8c673f24e04c,Phalaris arundinacea,,1,6,6,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
34,94f3eadd-3bd6-46b3-a83f-6c2f21638211,Salix exigua,,1,8,8,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
35,4fee5be9-87ce-4755-b018-9874e1107bd2,Carex vulpinoidea,,1,6,6,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
36,626690c5-5b7a-4acc-ac18-ae1f8b9314f0,Carex cristatella,,1,4,4,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
37,2eb7d658-f250-4587-956d-8c7ac5c11aec,Agrostis stolonifera,,1,6,6,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
38,77d9a104-57d7-4c1b-8f27-cf304fd57949,Lysimachia nummularia,,1,8,8,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
39,1fcd2e30-cbf1-48cc-9f2c-ff0595f7f6b7,Galium asprellum,,1,6,6,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
40,51643aa7-8958-483f-aeb3-89cc331812e3,Scutellaria lateriflora,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
41,eb996fa3-03dc-4336-b7ab-e193c2e4f40e,Apocynum cannabinum,,1,3,3,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
42,4bb64e7e-148b-415d-a742-6ccf8fe98e43,Iris pseudacorus,,1,3,3,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
43,eadc98ba-33d0-4635-a0f4-515261e98ec1,Toxicodendron radicans,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
44,c75387f0-9d54-47f3-8f07-494e8049a7b2,Geum laciniatum,Laciniatum?,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
45,df791f9c-4bb7-4d5f-9f04-b76640ab444e,Asclepias incarnata,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
46,6cc86c01-f2cd-4393-a05f-f7b3eac5e4b1,Cornus obliqua,Cornus obliqua (x amomum?),1,3,3,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
47,25129ac5-f01b-4431-958a-c573fcef988f,Ulmus americana,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
48,cfa66247-07cc-4923-adc2-6eb68e93d693,Fraxinus pennsylvanica,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
49,8e48e450-a363-4135-9eb3-9e3e0227e997,Myosotis scorpioides,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
50,b5f3899f-df7e-4d16-8265-eeac89dadc84,Cirsium arvense,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
51,8a324c43-2b47-4468-a3fc-3fc079e284ec,Lythrum salicaria,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
52,81ead68b-6778-4ac3-8550-acd7e0fa85f2,Vitis riparia,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
53,77dbfdeb-fe59-4780-8b79-9b45a38c7d8a,Rosa multiflora,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
54,675daacc-e2d4-4375-8c42-0ddbc53f49fe,Rumex orbiculatus,,1,2,2,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
55,b5686dbb-08fa-4bca-859b-193ca1c8818f,Phalaris arundinacea,,2,8,8,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
56,4e3b05c9-bb03-4f05-b8f4-e86f190eae93,Salix exigua,,2,7,7,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
57,610c4b4a-ee6a-473b-9da7-4703cd62204f,Apocynum cannabinum,,2,4,4,53b4e5e7-5f63-473d-bdcb-66803fe869d2,6/27/2023 18:43,SBingham@nps.gov_nps,6/27/2023 18:43,SBingham@nps.gov_nps,969,
