EventID,FeatureID,LocationID,Species,SpeciesComments,Module,CoverClass,CoverClassAll,EditDate,Outfile
CUVAWetlnd20230627,969,CUVAWetlnd141,Phalaris arundinacea,NA,1,6,6,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Salix exigua,NA,1,8,8,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Carex vulpinoidea,NA,1,6,6,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Carex cristatella,NA,1,4,4,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Agrostis stolonifera,NA,1,6,6,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Lysimachia nummularia,NA,1,8,8,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Galium asprellum,NA,1,6,6,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Scutellaria lateriflora,NA,1,2,2,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Apocynum cannabinum,NA,1,3,3,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Iris pseudacorus,NA,1,3,3,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Toxicodendron radicans,NA,1,2,2,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Geum laciniatum,Laciniatum?,1,2,2,2023-06-27,VIBI_herb_2024-01-08_100013.csv
CUVAWetlnd20230627,969,CUVAWetlnd141,Asclepias incarnata,NA,1,2,2,2023-06-27,VIBI_herb_2024-01-08_100013.csv
