ObjectID,GlobalID,WoodyModule,WoodySpecies,ParentGlobalID,CreationDate,Creator,EditDate,Editor,WoodySiteName,ShrubClump,D0to1,D1to2_5,D2_5to5,D5to10,D10to15,D15to20,D20to25,D25to30,D30to35,D35to40,Dgt40,Dgt40_1,Dgt40_2,Dgt40_3,Dgt40_4,Dgt40_5
323,71b720e0-05cd-4c05-927a-d5a31b66fa51,1,Cornus amomum,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 14:51,cpoling@nps.gov_nps,8/1/2023 14:51,cpoling@nps.gov_nps,526,,1,,,,,,,,,,,,,,,
324,3ad4e9fe-1148-41d1-aeb8-343f5874513b,1,Platanus occidentalis,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,,6,,,,,,,,,,,,,,
325,f04d74f0-ec0b-463d-89ca-3af97f9f5df6,1,Fraxinus pennsylvanica,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,,12,,,,,,,,,,,,,,
326,a21ef186-9ac7-420f-82b1-f5e19c7d706b,1,Standing dead,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,,,,1,,2,2,2,,,,,,,,
327,74bfbf74-37b1-4eae-80a3-76abd0105374,10,Platanus occidentalis,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,1,1,,,,,,,2,,,,,,,
328,af061582-ac00-42d3-80a3-a7a68d7a5403,10,Alnus incana,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,5,,,,,,,,,,,,,,,
329,d75b67ca-3554-461e-ad31-c2ec07843623,10,Ulmus americana,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,,,,,,,,,1,,,,,,,
330,c529a13a-f5e3-4112-a167-f017ca5371b1,10,Fraxinus pennsylvanica,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,1,,,,,,,,,,,,,,,
331,a94ed96d-5819-4d42-aa99-5d634d5791a0,10,Elaeagnus umbellata,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,2,,,,,,,,,,,,,,,
332,bf291887-83a7-46d3-b13a-9a5a01bd18bc,9,Fraxinus pennsylvanica,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,12,,,,,,,,,,,,,,,
333,c8debdb6-48bd-415d-80e3-bb42487b32ad,9,Platanus occidentalis,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,3,2,,,,,,,,,,,,,,
334,788b3ff1-9584-4ded-b99b-c7fad45393d7,9,Alnus incana,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,4,1,,,,,,,,,,,,,,,
335,c09c83bb-d519-43e9-9e42-afa2aac05c89,9,Standing dead,61785eab-d583-47a0-8bb5-3c98c4de7f0e,8/1/2023 15:19,cpoling@nps.gov_nps,8/1/2023 15:19,cpoling@nps.gov_nps,526,,,,,,1,1,,,,,,40,60,,,
