ObjectID,GlobalID,WoodyModule,SpeciesCode,DiameterClassRange,Count,ParentGlobalID,CreationDate,Creator,EditDate,Editor,WoodySiteName,ShrubClump,D0to1,D1to2_5,D2_5to5,D5to10,D10to15,D15to20,D20to25,D25to30,D30to35,D35to40,Dgt40,Dgt40_1,Dgt40_2,Dgt40_3,Dgt40_4,Dgt40_5
17,fa3c558e-1a06-493c-824a-d8b157ed3f22,1,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,8,46,240,44,,,,,,,,,,,,,
18,61847220-fcc1-4823-bc9d-c501fb4f2b3c,1,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,25,33,1,,,,,,,,,,,,,
19,dc772a7c-7bd8-4349-8571-49450acda364,1,COROBL,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,1,,,,,,,,,,,,,,,
20,c8731d8e-ba38-4b14-a361-f06b25fd349a,1,ULMAME,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,,1,,,,,,,,,,,,,,,
21,54619af5-b188-46b3-8d6c-b49dc251b78a,2,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,15,57,54,1,,,,,,,,,,,,,
22,3de8fd2a-a38d-4d99-acfd-90ca5f96c6dc,2,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,4,23,46,,,,,,,,,,,,,,
23,555c3bb8-37ee-4332-b13a-d2536c487b22,2,ROSMUL,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/27/2023 18:42,dmarcum@nps.gov_nps,6/27/2023 18:42,dmarcum@nps.gov_nps,969,1,,,,,,,,,,,,,,,,
24,52c61118-ac5e-44b6-9826-ae7e63230949,3,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,13,85,14,,,,,,,,,,,,,,
25,7814a6d9-2325-44b9-a459-13779b3b0252,3,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,1,13,29,1,,,,,,,,,,,,,
26,9a788cfe-6865-4e41-acc2-346dadc12efe,3,ROSMUL,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,2,,1,,,,,,,,,,,,,,
27,3170396a-3afd-4312-b95f-50fbc25c36d3,4,SLXEXI,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,24,51,19,4,,,,,,,,,,,,,
28,08aa3af3-2956-47cc-ab47-afb0d0c93816,4,STNDEAD,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,9,10,59,17,,,,,,,,,,,,,
29,94ed5519-75a1-431c-ab58-b93b0a1d83f1,4,FRAPEN,,,9ec44fc3-2a29-4c75-a04a-dddd701dd9e5,6/28/2023 16:45,dmarcum@nps.gov_nps,6/28/2023 16:45,dmarcum@nps.gov_nps,969,,1,,,,,,,,,,,,,,,
